code,name,latitude,longitude,altitude,postal,city
6197,de Bordeaux / Masson,45.53898439552301,-73.5824453830719,55,H2H 2P7,Montréal
6253,Berri / Jean-Talon,45.53903177583418,-73.614318180189,60,H2R 2G4,Montréal
7035,Fullum / Gilford,45.53922374455291,-73.57383679656778,51,H2H 2K2,Montréal
6002,Ste-Catherine / DÃ©zÃ©ry,45.53929155936048,-73.54103073477745,19,H1W,Montréal
6328,Henri-Julien / Villeray,45.539487469364325,-73.62355560064316,59,H2R 2B4,Montréal
6323,Guizot / St-Laurent,45.53963159810423,-73.63444805145264,51,H2P,Montréal
5004,St-Charles / Charlotte,45.539824,-73.508752,14,J4H 1C6,Longueuil
6327,Faillon / St-Denis,45.53982885720648,-73.62023502588272,61,H2R 2E4,Montréal
6162,Fullum / St-Joseph,45.5398326,-73.57555881,52,H2H 2K3,Montréal
6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572,61,H2G 3B8,Montréal
7064,Clark / de LiÃ¨ge,45.539983846015616,-73.6381347477436,44,H2P,Montréal
6254,Boyer / BÃ©langer,45.54006,-73.60897,59,H2S 2J6,Montréal
7061,Lajeunesse / de Castelnau,45.540396208099985,-73.61681789159775,60,H2R 2H6,Montréal
6330,de GaspÃ© / Jarry,45.540780049797995,-73.63040059804916,52,H2P 2J9,Montréal
6259,Dandurand / de Lorimier,45.540881,-73.584157,58,H2G 1Z2,Montréal
6393,DÃ©zÃ©ry / Ontario,45.54111008519643,-73.54754984378815,22,H1W 2S3,Montréal
6421,Cartier / Rosemont,45.54124722370603,-73.59104454517365,66,H2G,Montréal
7063,Henri-Julien / Jarry,45.54140622907085,-73.63007068634033,51,H2P 2J3,Montréal
6386,MÃ©tro PrÃ©fontaine (Moreau / Hochelaga),45.5414350841351,-73.55431437492369,27,H1W,Montréal
6389,Boyer / Jean-Talon,45.541484,-73.612441,61,H2S 2J8,Montréal
6022,Angus (Molson / William-Tremblay),45.54172920185872,-73.56549382209778,48,H1Y 3J8,Montréal
6329,Gounod / St-Denis,45.54181643887568,-73.62611174583435,55,H2R,Montréal
6904,Fabre / Beaubien,45.542055,-73.597793,62,H2G 2Z4,Montréal
6734,Lajeunesse / Villeray (place TapÃ©o),45.54211889,-73.6225471,58,H2R,Montréal
6332,de GaspÃ© / de LiÃ¨ge,45.54248521237199,-73.63634169101715,42,H2P 2K2,Montréal
6264,Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,65,H2G,Montréal
7018,Joliette / Ste-Catherine,45.54286796890454,-73.53822447359562,15,H1W 3E3,Montréal
6336,Faillon / St-Hubert,45.54297175887712,-73.61793905496597,58,H2R,Montréal
6276,Chambord / BÃ©langer,45.54299336219576,-73.60637202858925,61,H2G 3C2,Montréal
6331,Guizot / St-Denis,45.543347467582954,-73.632353246212,49,H2P 1M6,Montréal
6270,Fabre / St-Zotique,45.54345172630376,-73.60101029276848,60,H2G 2Z3,Montréal
7065,de LanaudiÃ¨re / BÃ©langer,45.54365085053057,-73.60565051436424,61,H2G 3B3,Montréal
7020,St-Germain / Hochelaga,45.5436987529516,-73.55367332696915,30,H1W 2V2,Montréal
7039,du Mont-Royal / Augustin-Frigon,45.543763151117474,-73.56772005558014,47,H2H 1L3,Montréal
7002,Tolhurst / Fleury,45.54410128430579,-73.66738557815552,30,H3L 3A2,Montréal
6391,Aylwin / Ontario,45.54431114893366,-73.54554891586304,21,H1W 1R4,Montréal
6905,Parc Rosemont (Dandurand / d'Iberville),45.544377,-73.581018,59,H1Y,Montréal
6916,Parc du PÃ©lican (2e avenue / St-Joseph),45.544513,-73.571564,50,H1Y 2X9,Montréal
6346,Congres,45.54459352523215,-73.53779464960098,15,H1W 3K2,Montréal
6261,Louis HÃ©mon / Rosemont,45.54459855947176,-73.58822286128998,65,H2G 2K5,Montréal
6335,du Rosaire / St-Hubert,45.54467,-73.621581,58,H2R 3B1,Montréal
6267,de Bordeaux / Beaubien,45.54475,-73.5949,63,H2G 2R8,Montréal
6275,Chambord / Jean-Talon,45.54484558108033,-73.61053615808486,59,H2E 1W6,Montréal
6340,de la Roche / Everett,45.544867,-73.614841,57,H2R 2T5,Montréal
6372,1Ã¨re avenue / Masson,45.5451997,-73.57645065,54,H1Y 1V9,Montréal
6384,Darling / Sherbrooke,45.54545890380305,-73.55666935443878,45,H1W 2X7,Montréal
6324,de LiÃ¨ge / Lajeunesse,45.545603545552744,-73.63474041223526,42,H2P 1K2,Montréal
6381,Omer-LavallÃ©e / du Midway,45.5457759528664,-73.56217458844185,46,H1Y 3J2,Montréal
6272,Chabot / St-Zotique,45.5460938219615,-73.59927892684937,59,H2G 2T7,Montréal
6410,MÃ©tro CrÃ©mazie (CrÃ©mazie / Lajeunesse),45.54640752148169,-73.63842844963074,37,H2M 1R6,Montréal
6266,Louis-HÃ©bert / Belllechasse,45.5468001130256,-73.5888934135437,64,H2G 2G6,Montréal
6387,MÃ©tro Joliette  (Joliette / Hochelaga),45.54690718297082,-73.5515570640564,25,H1W 3H1,Montréal
6273,Cartier / BÃ©langer,45.546939,-73.602616,56,H2G 2W1,Montréal
6371,4e avenue / Masson,45.546978,-73.575515,55,H1Y 2V4,Montréal
6394,Valois / Ontario,45.54716076886967,-73.54377329349518,19,H1W,Montréal
6333,Leman / de Chateaubriand,45.547218,-73.631103,45,H2P,Montréal
6373,7e avenue / St-Joseph,45.547226645250745,-73.56986984610558,47,H1Y 2M9,Montréal
6367,3e avenue / Dandurand,45.547362,-73.579221,59,H1Y 1S8,Montréal
6923,Marquette / Jean-Talon,45.54740777921938,-73.60766887664795,55,H2E 2C9,Montréal
7006,Clark / Fleury,45.54764847825576,-73.6655656993389,27,H3L,Montréal
6362,1Ã¨re avenue / Rosemont,45.547997,-73.58523,68,H1Y 3A7,Montréal
